cím;rendezo;gyarto;ev;hossz
Hangrobbanás;Rodney McDonald;Amerikai Egyesült Államok;1999;90
Karácsonyi kívánság;Jerry Reynolds;Amerikai Egyesült Államok;1994;21
Hannibál tanár úr próbafelvétel;Fábri Zoltán;Magyarország;1956;35
Édes Anna próbafelvétel;Fábri Zoltán;Magyarország;1958;20
Körhinta próbafelvétel;Fábri Zoltán;Magyarország;1955;18
Veled vagyok, fogom a kezed!;Tagai Péter;Magyarország;2017;34
Eszeveszett esküvő;Eric Toledano, Olivier Nakache;Franciaország;2017;117
Szeretföld;Buvári Tamás;Magyarország;2017;109
Zsírégető edzés Béres Alexandrával;Fehér Krisztián;Magyarország;2017;39
Rudolf a rénszarvas;William R. Kowalchuk Jr.;Amerikai Egyesült Államok;1998;82
Dot és a Spot varázslatos karácsonya;David Schwartz;Amerikai Egyesült Államok;1996;22
Caillou karácsonya;Nick Rijgersberg;Kanada;2003;73
Nick és Noel kalandjai;John Sparey;Amerikai Egyesült Államok;1993;22
A bátor mackók karácsonya;Allen Foster;Amerikai Egyesült Államok;1994;23
Kis egerek nagy karácsonya;Chris Bartleman;Kanada;2000;27
Fekete Amerika;Desmond Nakano;Amerikai Egyesült Államok;1995;85
Így készült a Fekete Amerika;Desmond Nakano;Amerikai Egyesült Államok;1995;6
Sorsforduló;John Terlesky;Amerikai Egyesült Államok;2002;91
Bárbajnokok;Steve Buscemi;Amerikai Egyesült Államok;1996;91
Outsiderek - Négyen a szentendrei Vajda Lajos Stúdióból;Tóth Olivér Márk;Magyarország;2017;75
British Museum: Hokuszai - A nagy hullámon túl;Patricia Wheatley;Egyesült Királyság;2016;87
Lumiére!;Thiérry Frémaux;Franciaország;2016;90
Fűrész - Újra játékban;Michel Spierig, Peter Spierig;Amerikai Egyesült Államok, Kanada;2017;92
Thor: Ragnarök;Taika Waititi;Amerikai Egyesült Államok;2017;131
A Viszkis;Antal Nimród;Magyarország;2017;126
Repülünk Mari - Szabó István Fábri Zoltánról;Kerékgyártó Yvonne;Magyarország;2017;13
Viszontlátásra odafönt;Albert Dupontel;Franciaország;2017;117
